eventName,eventCategory,eventSubCategory,eventWebsite,eventTicketLink,eventStartMonth,eventStartDay,eventStartYear,eventEndMonth,eventEndDay,eventEndYear,eventStartTime,eventEndTime,eventLocation,eventCreatorType,eventKeywords,claimEvent,eventDescription,ageRestricted,longitude,latitude
alt-J,1,0,NULL,NULL,09,11,2013,09,11,2013,18:30,23:59,"Echo Beach",Artist,NULL,0,,0,-79.4150723,43.6293322
"Dirty Beaches",1,0,NULL,NULL,09,11,2013,09,11,2013,20:00,23:59,"The Garrison",Artist,NULL,0,,0,-79.4223035,43.6492734
"Lucy Rose",1,0,NULL,NULL,09,11,2013,09,11,2013,19:00,23:59,"The Mod Club",Artist,NULL,0,,0,-79.4191527,43.655309
"King Krule",1,0,NULL,NULL,09,11,2013,09,11,2013,20:00,23:59,Wrongbar,Artist,NULL,0,,0,-79.4318824,43.6415619
"South of North",1,0,NULL,NULL,09,11,2013,09,11,2013,19:30,23:59,Rivoli,Artist,NULL,0,,0,-79.3948811,43.6491205
Deerhunter,1,0,NULL,NULL,09,12,2013,09,12,2013,20:00,23:59,"Phoenix Concert Theatre",Artist,NULL,0,,0,-79.3739707,43.6648118
Savages,1,0,NULL,NULL,09,12,2013,09,12,2013,21:00,23:59,"The Opera House",Artist,NULL,0,,0,-79.3487853,43.6590966
Zedd,1,0,NULL,NULL,09,12,2013,09,12,2013,21:00,23:59,"Sound Academy",Artist,NULL,0,,0,-79.3548415,43.6410129
"The Spoofs",1,0,NULL,NULL,09,12,2013,09,12,2013,20:30,23:59,"The Silver Dollar Room",Artist,NULL,0,,0,-79.4004992,43.6584256
Twiztid,1,0,NULL,NULL,09,13,2013,09,13,2013,19:00,23:59,"The Rockpile",Artist,NULL,0,,0,-79.5489308,43.6294203
"Chet Faker",1,0,NULL,NULL,09,13,2013,09,13,2013,22:00,23:59,Wrongbar,Artist,NULL,0,,0,-79.4318824,43.6415619
"DJ Shadow",1,0,NULL,NULL,09,13,2013,09,13,2013,22:00,23:59,"The Hoxton",Artist,NULL,0,,0,-79.4022493,43.6433615
"Cher Lloyd",1,0,NULL,NULL,09,13,2013,09,13,2013,19:00,23:59,"Phoenix Concert Theatre",Artist,NULL,0,,0,-79.3739707,43.6648118
"Pink Wine",1,0,NULL,NULL,09,13,2013,09,13,2013,21:30,23:59,"White House Studios",Artist,NULL,0,,0,-79.4012736,43.6526819
Hollerado,1,0,NULL,NULL,09,13,2013,09,13,2013,19:00,23:59,"The Danforth Music Hall",Artist,NULL,0,,0,-79.3571267,43.6764421
Phaeleh,1,0,NULL,NULL,09,13,2013,09,13,2013,20:00,23:59,"Drake Hotel",Artist,NULL,0,,0,-79.4246457,43.6431078
"Obey the Brave",1,0,NULL,NULL,09,13,2013,09,13,2013,18:00,23:59,"Annex Wreckroom",Artist,NULL,0,,0,-79.4114579,43.6654176
Dumpstaphunk,1,0,NULL,NULL,09,13,2013,09,13,2013,20:00,23:59,"El Mocambo",Artist,NULL,0,,0,-79.4001552,43.6575448
"Racoon Wedding",1,0,NULL,NULL,09,13,2013,09,13,2013,21:00,23:59,"The Silver Dollar Room",Artist,NULL,0,,0,-79.4004992,43.6584256
"Bryan McPherson",1,0,NULL,NULL,09,13,2013,09,13,2013,19:30,23:59,"Cameron House",Artist,NULL,0,,0,-79.397567,43.6485984
"Down with Webster",1,0,NULL,NULL,09,14,2013,09,14,2013,18:00,23:59,"Echo Beach",Artist,NULL,0,,0,-79.4150723,43.6293322
"Mad Child",1,0,NULL,NULL,09,14,2013,09,14,2013,19:00,23:59,"The Rockpile",Artist,NULL,0,,0,-79.5489308,43.6294203
Teenanger,1,0,NULL,NULL,09,14,2013,09,14,2013,21:00,23:59,"The Silver Dollar Room",Artist,NULL,0,,0,-79.4004992,43.6584256
"Walk the Moon",1,0,NULL,NULL,09,14,2013,09,14,2013,21:00,23:59,"Lee’s Palace",Artist,NULL,0,,0,-79.4094994,43.6654332
STRFKR,1,0,NULL,NULL,09,14,2013,09,14,2013,20:00,23:59,"The Opera House",Artist,NULL,0,,0,-79.3487853,43.6590966
Anamai,1,0,NULL,NULL,09,14,2013,09,14,2013,20:00,23:59,"Gerrard Art Space",Artist,NULL,0,,0,-79.3238651,43.6719454
"Fall Out Boy",1,0,NULL,NULL,09,15,2013,09,15,2013,18:00,23:59,"Echo Beach",Artist,NULL,0,,0,-79.4150723,43.6293322
"Arctic Monkeys",1,0,NULL,NULL,09,15,2013,09,15,2013,19:00,23:59,"Kool Haus",Artist,NULL,0,,0,-79.3684779,43.6443151
