eventName,eventCategory,eventSubCategory,eventWebsite,eventTicketLink,eventStartMonth,eventStartDay,eventStartYear,eventEndMonth,eventEndDay,eventEndYear,eventStartTime,eventEndTime,eventLocation,eventCreatorType,eventKeywords,claimEvent,eventDescription,ageRestricted,longitude,latitude
"Olexander Wlasenko",3,0,NULL,NULL,09,11,2013,09,11,2013,NULL,23:59,"  															Abbozzo Gallery",Artist,NULL,0,NULL,0,-79.3937409,43.6478533
"Harry Enchin",3,0,NULL,NULL,09,12,2013,09,12,2013,NULL,23:59,"  															Akasha Art Projects",Artist,NULL,0,NULL,0,-79.3831843,43.653226
"3rd Vormittag Biennial Invitational",3,0,NULL,NULL,09,07,2013,09,07,2013,NULL,23:59,"  															Arcadia Art Gallery",Artist,NULL,0,NULL,0,-79.3993202,43.6351915
"Oleg Lipchenko",3,0,NULL,NULL,09,07,2013,09,07,2013,NULL,23:59,"  															Articsók Gallery",Artist,NULL,0,NULL,0,-79.4592101,43.674294
"Alas Collective: 40 Year Commemoration Of Chile's Lost Democracy",3,0,NULL,NULL,09,11,2013,09,11,2013,NULL,23:59,"  															Beit Zatoun",Artist,NULL,0,NULL,0,-79.4124122,43.6647941
"Andrew Lindell",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															Centennial College Centre for Creative Communications",Artist,NULL,0,NULL,0,-79.349667,43.6847866
"John MacGregor",3,0,NULL,NULL,09,07,2013,09,07,2013,NULL,23:59,"  															Christopher Cutts",Artist,NULL,0,NULL,0,-79.4468672,43.652746
"Kaegan Walsh",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															Communication Art Gallery",Artist,NULL,0,NULL,0,-79.4092906,43.6615376
"David Trautrimas",3,0,NULL,NULL,09,06,2013,09,06,2013,NULL,23:59,"  															Convenience",Artist,NULL,0,NULL,0,-79.4387652,43.6459606
"Sara Cwynar",3,0,NULL,NULL,09,05,2013,09,05,2013,NULL,23:59,"  															Cooper Cole Gallery",Artist,NULL,0,NULL,0,-79.4214691,43.6492577
